arquivo_origem;nome_empreendimento;unidade;disponibilidade;valor;observações
The Breeze Dezembro;VA DO;2701;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;2601;Disponível;4.569.000,00;
The Breeze Dezembro;VA DO;2501;Disponível;4.469.000,00;
The Breeze Dezembro;VA DO;2401;Disponível;4.387.000,00;
The Breeze Dezembro;VA DO;2301;Disponível;4.299.000,00;
The Breeze Dezembro;VA DO;2201;Disponível;4.209.000,00;
The Breeze Dezembro;VA DO;2101;Disponível;4.119.000,00;
The Breeze Dezembro;VA DO;2001;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;1901;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;1801;Disponível;3.889.000,00;
The Breeze Dezembro;VA DO;1701;Disponível;3.819.000,00;
The Breeze Dezembro;VA DO;1601;Disponível;3.749.000,00;
The Breeze Dezembro;VA DO;1501;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;1401;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;1301;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;1267;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;1101;Disponível;3.399.000,00;
The Breeze Dezembro;VA DO;1001;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;9091;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;801;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;701;Reservado;Indeterminado;
The Breeze Dezembro;VA DO;601;Reservado;Indeterminado;
